name,old_price_reais,old_price_centavos,new_price_reais,new_price_centavos,reviews_rating_number,reviews_amount
Data Science Do Zero: noções Fundamentais com Python - Editora Alta Books,,,,,4.9,(40)
Data Science Para Negócios - Editora Alta Books,,,,,,
Python para data science para leigos Editora Alta Books 2020,,,,,4.6,(5)
Introdução À Identificação De Sistemas: Técnicas Linea,,,,,,
Livro Data Science Para Negócios: O Que Você Precisa Saber Sobre Mineração De Dados E Pensamento Analítico De Dados,,,,,4.0,(1)
Livro Data Science Do Zero,,,,,,
Python Para Data Science Para Leigos,,,,,,
Python Para Data Science: E Machine Learning Descomplicado Editora Alta Books Capa Mole,,,,,4.8,(12)
"Data science para leigos, de Pierson, Lillian. Para leigos Editorial Starling Alta Editora E Consultoria  Eireli, tapa mole en português, 2019",,,,,5.0,(3)
Livro: Introdução À Ciência De Dados: Entendendo Os Dados Co,,,,,,
"Python para data science para leigos: os primeiros passos para o sucesso, de Mueller, John Paul. Para leigos Editorial Starling Alta Editora E Consultoria  Eireli, tapa mole en português, 2021",,,,,4.8,(12)
Livro Data Science Do Zero,,,,,,
"R para data science: Importe, arrume, transforme, visualize e modele dados - Editora Alta Books",,,,,,
Data Science Para Negócios: O Que Você Precisa Saber Sobre Mineração De Dados E Pensamento Analítico De Dados,,,,,,
"Data Science na Educação: Presencial, a Distância e Corporativa, de Filatro, Andrea. Editora Saraiva Educação S. A., capa mole em português, 2020",,,,,,
Livro Python Para Data Science,,,,,,
Data Science Para Leigos,,,,,,
"Data Science Para Programadores, De Sampaio, Cleuto., Vol. Programação. Editora Ciencia Moderna, Capa Mole Em Português, 20",,,,,5.0,(1)
R Para Data Science,,,,,,
Data Science Para Negócios - Foster Provost & Tom Fawcett,,,,,,
Data Science Do Zero - 2º Edição ( Joel Grus ),,,,,,
Livro Python Para Data Science,,,,,,
Livro Python Para Data Science Para Leigos,,,,,,
Livro Python Para Data Science,,,,,,
Data Science Do Zero Noções Fundamentais Com Python,,,,,,
Python Para Data Science: E Machine Learning Descomplicado,,,,,,
Kit Livros: Storytelling Com Dados E Data Science Para Neg,,,,,,
Livro Python Para Data Science Para Leigos,,,,,,
Livro Python Para Data Science Para Leigos,,,,,,
Livro Python Para Data Science,,,,,,
Python Para Data Science Para Leigos ( John Paul Mueller ),,,,,,
Livro Data Science Do Zero,,,,,,
Livro Python Para Data Science Para Leigos,,,,,,
Livro R Para Data Science,,,,,,
Livro Data Science Para Leigos,,,,,,
"Data smart: usando Data Science para transformar informação em insight, de Foreman, John W.. Editorial Starling Alta Editora E Consultoria  Eireli, tapa mole en português, 2016",,,,,,
Livro Data Science Do Zero,,,,,,
Livro Python Para Data Science Para Leigos,,,,,,
Livro Data Science Do Zero - 2º Edição,,,,,,
Livro Data Science Do Zero,,,,,,
Kit Python Para Data Science Para Leigos + Começando A Programar Em Python Para Leigos,,,,,,
Livro Data Science Para Negócios,,,,,,
Livro Python Para Data Science Para Leigos,,,,,,
Livro Data Smart,,,,,,
Livro R Para Data Science,,,,,,
Livro Data Science Do Zero,,,,,,
Python Para Data Science,,,,,,
Livro Python Para Data Science Para Leigos,,,,,,
name,old_price_reais,old_price_centavos,new_price_reais,new_price_centavos,reviews_rating_number,reviews_amount
Data Science Do Zero: noções Fundamentais com Python - Editora Alta Books,,,,,4.9,(40)
Data Science Para Negócios - Editora Alta Books,,,,,,
Python para data science para leigos Editora Alta Books 2020,,,,,4.6,(5)
Introdução À Identificação De Sistemas: Técnicas Linea,,,,,,
Livro Data Science Para Negócios: O Que Você Precisa Saber Sobre Mineração De Dados E Pensamento Analítico De Dados,,,,,4.0,(1)
Livro Data Science Do Zero,,,,,,
Python Para Data Science Para Leigos,,,,,,
Python Para Data Science: E Machine Learning Descomplicado Editora Alta Books Capa Mole,,,,,4.8,(12)
"Data science para leigos, de Pierson, Lillian. Para leigos Editorial Starling Alta Editora E Consultoria  Eireli, tapa mole en português, 2019",,,,,5.0,(3)
Livro Data Science Do Zero,,,,,,
Livro Python Para Data Science,,,,,,
Kit Livros: Storytelling Com Dados E Data Science Para Neg,,,,,,
Livro: Introdução À Ciência De Dados: Entendendo Os Dados Co,,,,,,
"Python para data science para leigos: os primeiros passos para o sucesso, de Mueller, John Paul. Para leigos Editorial Starling Alta Editora E Consultoria  Eireli, tapa mole en português, 2021",,,,,4.8,(12)
Livro Data Science Do Zero,,,,,,
"R para data science: Importe, arrume, transforme, visualize e modele dados - Editora Alta Books",,,,,,
Data Science Para Negócios: O Que Você Precisa Saber Sobre Mineração De Dados E Pensamento Analítico De Dados,,,,,,
"Data Science na Educação: Presencial, a Distância e Corporativa, de Filatro, Andrea. Editora Saraiva Educação S. A., capa mole em português, 2020",,,,,,
Livro Python Para Data Science,,,,,,
Data Science Para Leigos,,,,,,
"Data Science Para Programadores, De Sampaio, Cleuto., Vol. Programação. Editora Ciencia Moderna, Capa Mole Em Português, 20",,,,,5.0,(1)
R Para Data Science,,,,,,
Data Science Para Negócios - Foster Provost & Tom Fawcett,,,,,,
Data Science Do Zero - 2º Edição ( Joel Grus ),,,,,,
Livro Python Para Data Science,,,,,,
Livro Python Para Data Science Para Leigos,,,,,,
Livro Python Para Data Science,,,,,,
Data Science Do Zero Noções Fundamentais Com Python,,,,,,
Python Para Data Science: E Machine Learning Descomplicado,,,,,,
Kit Livros: Storytelling Com Dados E Data Science Para Neg,,,,,,
Livro Python Para Data Science Para Leigos,,,,,,
Livro Python Para Data Science Para Leigos,,,,,,
Livro Python Para Data Science,,,,,,
Python Para Data Science Para Leigos ( John Paul Mueller ),,,,,,
Livro Data Science Do Zero,,,,,,
Livro Python Para Data Science Para Leigos,,,,,,
Livro R Para Data Science,,,,,,
Livro Data Science Para Leigos,,,,,,
"Data smart: usando Data Science para transformar informação em insight, de Foreman, John W.. Editorial Starling Alta Editora E Consultoria  Eireli, tapa mole en português, 2016",,,,,,
Livro Data Science Do Zero,,,,,,
Livro Python Para Data Science Para Leigos,,,,,,
Livro Data Science Do Zero - 2º Edição,,,,,,
Livro Data Science Do Zero,,,,,,
Kit Python Para Data Science Para Leigos + Começando A Programar Em Python Para Leigos,,,,,,
Livro Data Science Para Negócios,,,,,,
Livro Python Para Data Science Para Leigos,,,,,,
Livro Data Smart,,,,,,
Livro R Para Data Science,,,,,,
Livro Data Science Do Zero,,,,,,
Python Para Data Science,,,,,,
Livro Python Para Data Science Para Leigos,,,,,,
